,daysDiff,length_usage,num_referrals,creation_source_ORG_INVITE,creation_source_PERSONAL_PROJECTS,creation_source_SIGNUP,creation_source_SIGNUP_GOOGLE_AUTH,opted_in_to_mailing_list_1,enabled_for_marketing_drip_1,email_domain_gmail.com,email_domain_gustr.com,email_domain_hotmail.com,email_domain_jourrapide.com,email_domain_other,email_domain_yahoo.com,ref_size_M,ref_size_Not_invited,ref_size_S,org_size_cat_Extreme,org_size_cat_Few,org_size_cat_Moderate,org_size_cat_Small,adopted
0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,False
1,0,136,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,True
2,0,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,False
3,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,False
4,5,5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,False
5,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False
6,4,4,5.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,False
7,0,0,0.0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,False
8,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,False
9,0,503,1.0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,True
10,1,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,False
11,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False
12,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False
13,1,1,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,False
14,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,False
15,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,False
16,3,3,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False
17,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,False
18,1,6,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,False
19,5,84,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,True
20,0,0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
21,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
22,1,1,3.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False
23,0,0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
24,0,1,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False
25,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,False
26,1,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,False
27,3,3,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,False
28,1,1,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,False
29,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False
30,1,1,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,False
31,0,0,0.0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,False
32,0,81,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,True
33,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,False
34,0,0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,False
35,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
36,1,1,5.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False
37,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
38,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False
